#size         BOOSTER        GPU  DCGP       LabelGPU   
256x512x60    930.60     333.17   250.09      "8proc+8GPU(2.79x)"           
512x1024x60   5480.93    488.89   1772.71     "16proc+16GPU(11.21x)"   

